                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25894,                0.99505,                      1,                0.33722,             0.00023174,             0.00023174,             0.00023174
                      2,                0.03276,                0.99505,                      1,                0.31832,             0.00046664,             0.00046664,             0.00046664
                      3,                0.03536,                0.99505,                      1,                0.31934,             0.00069839,             0.00069839,             0.00069839
                      4,                0.03193,                0.99505,                      1,                0.32947,             0.00069986,             0.00069986,             0.00069986
                      5,                0.02723,                0.99505,                      1,                0.33149,             0.00069515,             0.00069515,             0.00069515
                      6,                0.03698,                0.99505,                      1,                0.31792,             0.00069044,             0.00069044,             0.00069044
                      7,                0.03557,                0.99505,                      1,                0.33253,             0.00068573,             0.00068573,             0.00068573
                      8,                0.03084,                0.99505,                      1,                0.32065,             0.00068101,             0.00068101,             0.00068101
                      9,                0.03407,                0.99505,                      1,                0.31816,              0.0006763,              0.0006763,              0.0006763
                     10,                0.02817,                0.99505,                      1,                 0.3179,             0.00067159,             0.00067159,             0.00067159
                     11,                0.03114,                0.99505,                      1,                0.31814,             0.00066688,             0.00066688,             0.00066688
                     12,                0.03438,                0.99505,                      1,                0.32077,             0.00066216,             0.00066216,             0.00066216
                     13,                0.02976,                0.99505,                      1,                0.31849,             0.00065745,             0.00065745,             0.00065745
                     14,                0.02414,                0.99505,                      1,                0.32815,             0.00065274,             0.00065274,             0.00065274
                     15,                0.02519,                0.99505,                      1,                0.31858,             0.00064803,             0.00064803,             0.00064803
                     16,                0.03028,                0.99505,                      1,                0.32688,             0.00064331,             0.00064331,             0.00064331
                     17,                0.02982,                0.99505,                      1,                  0.322,              0.0006386,              0.0006386,              0.0006386
                     18,                0.02916,                0.99505,                      1,                0.32185,             0.00063389,             0.00063389,             0.00063389
                     19,                0.02644,                0.99505,                      1,                0.31936,             0.00062918,             0.00062918,             0.00062918
                     20,                0.02896,                0.99505,                      1,                0.32073,             0.00062446,             0.00062446,             0.00062446
                     21,                0.02469,                0.99505,                      1,                0.31862,             0.00061975,             0.00061975,             0.00061975
                     22,                0.02632,                0.99505,                      1,                0.31917,             0.00061504,             0.00061504,             0.00061504
                     23,                0.02394,                0.99505,                      1,                0.31931,             0.00061033,             0.00061033,             0.00061033
                     24,                 0.0324,                0.99505,                      1,                0.31831,             0.00060561,             0.00060561,             0.00060561
