                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.25369,                0.99505,                      1,                0.33977,             0.00023174,             0.00023174,             0.00023174
                      2,                 0.0334,                0.99505,                      1,                0.31821,             0.00046664,             0.00046664,             0.00046664
                      3,                0.03422,                0.99505,                      1,                0.32075,             0.00069839,             0.00069839,             0.00069839
                      4,                0.03339,                0.99505,                      1,                0.32952,             0.00069986,             0.00069986,             0.00069986
                      5,                0.03034,                0.99505,                      1,                0.32965,             0.00069515,             0.00069515,             0.00069515
                      6,                0.03709,                0.99505,                      1,                 0.3182,             0.00069044,             0.00069044,             0.00069044
                      7,                0.03359,                0.99505,                      1,                0.32711,             0.00068573,             0.00068573,             0.00068573
                      8,                0.02827,                0.99505,                      1,                0.31874,             0.00068101,             0.00068101,             0.00068101
                      9,                 0.0355,                0.99505,                      1,                0.31816,              0.0006763,              0.0006763,              0.0006763
                     10,                0.03116,                0.99505,                      1,                 0.3185,             0.00067159,             0.00067159,             0.00067159
                     11,                0.03189,                0.99505,                      1,                0.31811,             0.00066688,             0.00066688,             0.00066688
                     12,                0.03817,                0.99505,                      1,                0.32074,             0.00066216,             0.00066216,             0.00066216
                     13,                0.03067,                0.99505,                      1,                0.32042,             0.00065745,             0.00065745,             0.00065745
                     14,                0.02849,                0.99505,                      1,                0.33212,             0.00065274,             0.00065274,             0.00065274
                     15,                0.02872,                0.99505,                      1,                0.31919,             0.00064803,             0.00064803,             0.00064803
                     16,                0.03411,                0.99505,                      1,                0.32036,             0.00064331,             0.00064331,             0.00064331
                     17,                 0.0329,                0.99505,                      1,                0.32392,              0.0006386,              0.0006386,              0.0006386
                     18,                0.02818,                0.99505,                      1,                0.32368,             0.00063389,             0.00063389,             0.00063389
                     19,                0.03336,                0.99505,                      1,                0.31818,             0.00062918,             0.00062918,             0.00062918
                     20,                0.03047,                0.99505,                      1,                0.32143,             0.00062446,             0.00062446,             0.00062446
                     21,                 0.0282,                0.99505,                      1,                0.31891,             0.00061975,             0.00061975,             0.00061975
                     22,                 0.0325,                0.99505,                      1,                0.32063,             0.00061504,             0.00061504,             0.00061504
                     23,                0.02888,                0.99505,                      1,                0.32076,             0.00061033,             0.00061033,             0.00061033
                     24,                0.03403,                0.99505,                      1,                0.31863,             0.00060561,             0.00060561,             0.00060561
                     25,                0.03216,                0.99505,                      1,                0.32047,              0.0006009,              0.0006009,              0.0006009
                     26,                0.03171,                0.99505,                      1,                0.32208,             0.00059619,             0.00059619,             0.00059619
                     27,                 0.0346,                0.99505,                      1,                0.32152,             0.00059148,             0.00059148,             0.00059148
                     28,                0.03021,                0.99505,                      1,                0.32165,             0.00058677,             0.00058677,             0.00058677
                     29,                  0.035,                0.99505,                      1,                0.32141,             0.00058205,             0.00058205,             0.00058205
                     30,                0.03151,                0.99505,                      1,                0.32164,             0.00057734,             0.00057734,             0.00057734
                     31,                0.02721,                0.99505,                      1,                0.31976,             0.00057263,             0.00057263,             0.00057263
                     32,                0.03066,                0.99505,                      1,                0.32046,             0.00056792,             0.00056792,             0.00056792
                     33,                0.03389,                0.99505,                      1,                0.32079,              0.0005632,              0.0005632,              0.0005632
                     34,                 0.0276,                0.99505,                      1,                0.32138,             0.00055849,             0.00055849,             0.00055849
                     35,                0.03047,                0.99505,                      1,                0.32779,             0.00055378,             0.00055378,             0.00055378
                     36,                0.03664,                0.99505,                      1,                0.32146,             0.00054907,             0.00054907,             0.00054907
                     37,                0.03344,                0.99505,                      1,                  0.321,             0.00054435,             0.00054435,             0.00054435
                     38,                0.02702,                0.99505,                      1,                0.32005,             0.00053964,             0.00053964,             0.00053964
                     39,                0.03191,                0.99505,                      1,                0.31951,             0.00053493,             0.00053493,             0.00053493
                     40,                0.03111,                0.99505,                      1,                0.32262,             0.00053022,             0.00053022,             0.00053022
                     41,                0.03136,                0.99505,                      1,                 0.3242,              0.0005255,              0.0005255,              0.0005255
                     42,                0.04619,                0.99505,                      1,                0.31882,             0.00052079,             0.00052079,             0.00052079
                     43,                0.02929,                0.99505,                      1,                0.31917,             0.00051608,             0.00051608,             0.00051608
                     44,                0.03486,                0.99505,                      1,                 0.3204,             0.00051137,             0.00051137,             0.00051137
                     45,                0.02824,                0.99505,                      1,                 0.3227,             0.00050665,             0.00050665,             0.00050665
                     46,                0.03039,                0.99505,                      1,                0.31957,             0.00050194,             0.00050194,             0.00050194
                     47,                0.03435,                0.99505,                      1,                0.32312,             0.00049723,             0.00049723,             0.00049723
                     48,                0.03998,                0.99505,                      1,                0.32078,             0.00049252,             0.00049252,             0.00049252
                     49,                0.03408,                0.99505,                      1,                0.33022,              0.0004878,              0.0004878,              0.0004878
                     50,                0.02922,                0.99505,                      1,                0.31992,             0.00048309,             0.00048309,             0.00048309
                     51,                0.03044,                0.99505,                      1,                0.32076,             0.00047838,             0.00047838,             0.00047838
                     52,                0.03183,                0.99505,                      1,                0.32212,             0.00047367,             0.00047367,             0.00047367
                     53,                0.03959,                0.99505,                      1,                0.32179,             0.00046896,             0.00046896,             0.00046896
                     54,                0.02959,                0.99505,                      1,                 0.3198,             0.00046424,             0.00046424,             0.00046424
                     55,                0.03097,                0.99505,                      1,                0.32133,             0.00045953,             0.00045953,             0.00045953
                     56,                0.03127,                0.99505,                      1,                0.32207,             0.00045482,             0.00045482,             0.00045482
                     57,                0.03105,                0.99505,                      1,                0.31988,             0.00045011,             0.00045011,             0.00045011
                     58,                0.03265,                0.99505,                      1,                0.32117,             0.00044539,             0.00044539,             0.00044539
                     59,                 0.0347,                0.99505,                      1,                0.32134,             0.00044068,             0.00044068,             0.00044068
                     60,                0.03033,                0.99505,                      1,                0.32139,             0.00043597,             0.00043597,             0.00043597
                     61,                 0.0286,                0.99505,                      1,                0.32104,             0.00043126,             0.00043126,             0.00043126
                     62,                0.02915,                0.99505,                      1,                0.32093,             0.00042654,             0.00042654,             0.00042654
                     63,                0.03106,                0.99505,                      1,                0.32265,             0.00042183,             0.00042183,             0.00042183
                     64,                0.03255,                0.99505,                      1,                0.31958,             0.00041712,             0.00041712,             0.00041712
                     65,                0.02952,                0.99505,                      1,                0.32087,             0.00041241,             0.00041241,             0.00041241
                     66,                0.02968,                0.99505,                      1,                0.32063,             0.00040769,             0.00040769,             0.00040769
                     67,                0.03493,                0.99505,                      1,                0.32187,             0.00040298,             0.00040298,             0.00040298
                     68,                0.03296,                0.99505,                      1,                 0.3193,             0.00039827,             0.00039827,             0.00039827
                     69,                0.03363,                0.99505,                      1,                0.32006,             0.00039356,             0.00039356,             0.00039356
                     70,                0.02935,                0.99505,                      1,                0.32246,             0.00038884,             0.00038884,             0.00038884
                     71,                0.03033,                0.99505,                      1,                0.32276,             0.00038413,             0.00038413,             0.00038413
                     72,                0.03199,                0.99505,                      1,                0.32085,             0.00037942,             0.00037942,             0.00037942
                     73,                0.02966,                0.99505,                      1,                0.32163,             0.00037471,             0.00037471,             0.00037471
                     74,                0.02897,                0.99505,                      1,                0.32225,             0.00036999,             0.00036999,             0.00036999
                     75,                 0.0283,                0.99505,                      1,                  0.321,             0.00036528,             0.00036528,             0.00036528
                     76,                0.03133,                0.99505,                      1,                0.31994,             0.00036057,             0.00036057,             0.00036057
                     77,                 0.0334,                0.99505,                      1,                0.32035,             0.00035586,             0.00035586,             0.00035586
                     78,                0.02933,                0.99505,                      1,                0.32949,             0.00035115,             0.00035115,             0.00035115
                     79,                0.03405,                0.99505,                      1,                0.31925,             0.00034643,             0.00034643,             0.00034643
                     80,                0.03185,                0.99505,                      1,                0.32011,             0.00034172,             0.00034172,             0.00034172
                     81,                0.02957,                0.99505,                      1,                0.31985,             0.00033701,             0.00033701,             0.00033701
                     82,                0.03222,                0.99505,                      1,                0.32998,              0.0003323,              0.0003323,              0.0003323
                     83,                0.03431,                0.99505,                      1,                0.33009,             0.00032758,             0.00032758,             0.00032758
                     84,                0.02882,                0.99505,                      1,                0.32036,             0.00032287,             0.00032287,             0.00032287
                     85,                0.02816,                0.99505,                      1,                0.32132,             0.00031816,             0.00031816,             0.00031816
                     86,                0.03396,                0.99505,                      1,                 0.3217,             0.00031345,             0.00031345,             0.00031345
                     87,                0.02939,                0.99505,                      1,                0.31944,             0.00030873,             0.00030873,             0.00030873
                     88,                 0.0318,                0.99505,                      1,                0.31917,             0.00030402,             0.00030402,             0.00030402
                     89,                0.03018,                0.99505,                      1,                0.31922,             0.00029931,             0.00029931,             0.00029931
                     90,                0.02928,                0.99505,                      1,                0.32124,              0.0002946,              0.0002946,              0.0002946
                     91,                0.02906,                0.99505,                      1,                0.32161,             0.00028988,             0.00028988,             0.00028988
                     92,                0.03044,                0.99505,                      1,                0.32233,             0.00028517,             0.00028517,             0.00028517
                     93,                0.02653,                0.99505,                      1,                0.32155,             0.00028046,             0.00028046,             0.00028046
                     94,                 0.0323,                0.99505,                      1,                0.31984,             0.00027575,             0.00027575,             0.00027575
                     95,                 0.0294,                0.99505,                      1,                0.31939,             0.00027103,             0.00027103,             0.00027103
                     96,                0.02761,                0.99505,                      1,                0.32062,             0.00026632,             0.00026632,             0.00026632
                     97,                0.02633,                0.99505,                      1,                0.32444,             0.00026161,             0.00026161,             0.00026161
                     98,                0.03144,                0.99505,                      1,                0.32312,              0.0002569,              0.0002569,              0.0002569
                     99,                0.03136,                0.99505,                      1,                0.32295,             0.00025218,             0.00025218,             0.00025218
                    100,                0.03109,                0.99505,                      1,                0.32197,             0.00024747,             0.00024747,             0.00024747
                    101,                0.02621,                0.99505,                      1,                0.32238,             0.00024276,             0.00024276,             0.00024276
                    102,                0.03157,                0.99505,                      1,                0.32076,             0.00023805,             0.00023805,             0.00023805
                    103,                  0.027,                0.99505,                      1,                0.32101,             0.00023334,             0.00023334,             0.00023334
                    104,                 0.0291,                0.99505,                      1,                0.32184,             0.00022862,             0.00022862,             0.00022862
                    105,                0.02816,                0.99505,                      1,                0.32171,             0.00022391,             0.00022391,             0.00022391
                    106,                0.02718,                0.99505,                      1,                0.31996,              0.0002192,              0.0002192,              0.0002192
                    107,                0.03296,                0.99505,                      1,                0.31935,             0.00021449,             0.00021449,             0.00021449
                    108,                0.02671,                0.99505,                      1,                0.32096,             0.00020977,             0.00020977,             0.00020977
                    109,                0.02454,                0.99505,                      1,                0.32013,             0.00020506,             0.00020506,             0.00020506
                    110,                0.02615,                0.99505,                      1,                 0.3335,             0.00020035,             0.00020035,             0.00020035
                    111,                0.02858,                0.99505,                      1,                0.32414,             0.00019564,             0.00019564,             0.00019564
                    112,                0.02869,                0.99505,                      1,                0.32038,             0.00019092,             0.00019092,             0.00019092
                    113,                0.02702,                0.99505,                      1,                0.32062,             0.00018621,             0.00018621,             0.00018621
                    114,                0.03278,                0.99505,                      1,                0.32015,              0.0001815,              0.0001815,              0.0001815
                    115,                0.02977,                0.99505,                      1,                0.32241,             0.00017679,             0.00017679,             0.00017679
                    116,                0.02831,                0.99505,                      1,                0.32163,             0.00017207,             0.00017207,             0.00017207
                    117,                 0.0274,                0.99505,                      1,                0.32257,             0.00016736,             0.00016736,             0.00016736
                    118,                0.02708,                0.99505,                      1,                0.32276,             0.00016265,             0.00016265,             0.00016265
                    119,                0.02693,                0.99505,                      1,                 0.3229,             0.00015794,             0.00015794,             0.00015794
                    120,                0.02613,                0.99505,                      1,                 0.3216,             0.00015322,             0.00015322,             0.00015322
                    121,                0.03046,                0.99505,                      1,                0.31909,             0.00014851,             0.00014851,             0.00014851
                    122,                0.02552,                0.99505,                      1,                0.31921,              0.0001438,              0.0001438,              0.0001438
                    123,                0.02814,                0.99505,                      1,                0.32235,             0.00013909,             0.00013909,             0.00013909
                    124,                0.02745,                0.99505,                      1,                0.32191,             0.00013437,             0.00013437,             0.00013437
                    125,                0.02791,                0.99505,                      1,                0.32027,             0.00012966,             0.00012966,             0.00012966
                    126,                0.02843,                0.99505,                      1,                0.32277,             0.00012495,             0.00012495,             0.00012495
                    127,                0.02581,                0.99505,                      1,                0.32391,             0.00012024,             0.00012024,             0.00012024
                    128,                0.02366,                0.99505,                      1,                0.32351,             0.00011553,             0.00011553,             0.00011553
                    129,                0.02449,                0.99505,                      1,                0.32546,             0.00011081,             0.00011081,             0.00011081
                    130,                0.02663,                0.99505,                      1,                0.32437,              0.0001061,              0.0001061,              0.0001061
                    131,                0.03325,                0.99505,                      1,                0.32371,             0.00010139,             0.00010139,             0.00010139
                    132,                0.02313,                0.99505,                      1,                0.32278,             9.6676e-05,             9.6676e-05,             9.6676e-05
                    133,                 0.0297,                0.99505,                      1,                0.32247,             9.1963e-05,             9.1963e-05,             9.1963e-05
                    134,                0.02438,                0.99505,                      1,                0.32224,             8.7251e-05,             8.7251e-05,             8.7251e-05
                    135,                0.02226,                0.99505,                      1,                0.32065,             8.2538e-05,             8.2538e-05,             8.2538e-05
                    136,                0.02767,                0.99505,                      1,                0.32083,             7.7826e-05,             7.7826e-05,             7.7826e-05
                    137,                 0.0249,                0.99505,                      1,                0.32226,             7.3114e-05,             7.3114e-05,             7.3114e-05
                    138,                0.02568,                0.99505,                      1,                0.32472,             6.8401e-05,             6.8401e-05,             6.8401e-05
                    139,                0.02343,                0.99505,                      1,                0.32267,             6.3689e-05,             6.3689e-05,             6.3689e-05
                    140,                0.02383,                0.99505,                      1,                0.32065,             5.8976e-05,             5.8976e-05,             5.8976e-05
                    141,                0.02983,                0.99505,                      1,                0.32039,             5.4264e-05,             5.4264e-05,             5.4264e-05
                    142,                0.02375,                0.99505,                      1,                0.32002,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    143,                0.02662,                0.99505,                      1,                0.32086,             4.4839e-05,             4.4839e-05,             4.4839e-05
                    144,                0.03007,                0.99505,                      1,                0.32077,             4.0127e-05,             4.0127e-05,             4.0127e-05
                    145,                0.02377,                0.99505,                      1,                0.32178,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    146,                0.01914,                0.99505,                      1,                0.32205,             3.0702e-05,             3.0702e-05,             3.0702e-05
                    147,                0.02433,                0.99505,                      1,                0.32335,              2.599e-05,              2.599e-05,              2.599e-05
                    148,                 0.0205,                0.99505,                      1,                0.32293,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    149,                0.02159,                0.99505,                      1,                0.32291,             1.6565e-05,             1.6565e-05,             1.6565e-05
                    150,                 0.0273,                0.99505,                      1,                0.32421,             1.1852e-05,             1.1852e-05,             1.1852e-05
