                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.28692,                0.97537,                      1,                0.35848,             0.00023174,             0.00023174,             0.00023174
                      2,                0.10514,                 0.9803,                      1,                0.34625,             0.00046664,             0.00046664,             0.00046664
                      3,                0.08542,                 0.9803,                      1,                0.32816,             0.00069839,             0.00069839,             0.00069839
                      4,                0.07589,                 0.9803,                      1,                0.34255,             0.00069986,             0.00069986,             0.00069986
                      5,                 0.0773,                 0.9803,                      1,                 0.3307,             0.00069515,             0.00069515,             0.00069515
                      6,                0.06927,                 0.9803,                      1,                0.32936,             0.00069044,             0.00069044,             0.00069044
                      7,                0.07158,                 0.9803,                      1,                0.33108,             0.00068573,             0.00068573,             0.00068573
                      8,                0.07083,                 0.9803,                      1,                0.33004,             0.00068101,             0.00068101,             0.00068101
                      9,                0.05982,                 0.9803,                      1,                0.32713,              0.0006763,              0.0006763,              0.0006763
                     10,                0.05448,                0.99507,                      1,                0.32283,             0.00067159,             0.00067159,             0.00067159
                     11,                0.07415,                 0.9803,                      1,                0.33029,             0.00066688,             0.00066688,             0.00066688
                     12,                0.05605,                0.99015,                      1,                0.32854,             0.00066216,             0.00066216,             0.00066216
                     13,                0.05524,                0.98522,                      1,                0.32812,             0.00065745,             0.00065745,             0.00065745
                     14,                0.04574,                0.98522,                      1,                0.32841,             0.00065274,             0.00065274,             0.00065274
                     15,                0.04907,                0.99507,                      1,                0.31966,             0.00064803,             0.00064803,             0.00064803
                     16,                0.04812,                 0.9803,                      1,                0.32863,             0.00064331,             0.00064331,             0.00064331
                     17,                0.04353,                0.99015,                      1,                0.32475,              0.0006386,              0.0006386,              0.0006386
                     18,                 0.0426,                0.99015,                      1,                  0.323,             0.00063389,             0.00063389,             0.00063389
                     19,                0.03735,                 0.9803,                      1,                0.32713,             0.00062918,             0.00062918,             0.00062918
                     20,                0.02706,                0.99507,                      1,                0.32512,             0.00062446,             0.00062446,             0.00062446
                     21,                0.03695,                0.98522,                      1,                0.32433,             0.00061975,             0.00061975,             0.00061975
                     22,                0.05672,                0.99507,                      1,                0.32096,             0.00061504,             0.00061504,             0.00061504
                     23,                0.02104,                0.99507,                      1,                0.31988,             0.00061033,             0.00061033,             0.00061033
                     24,                0.01895,                0.99507,                      1,                0.32079,             0.00060561,             0.00060561,             0.00060561
                     25,                0.01558,                0.99507,                      1,                0.31783,              0.0006009,              0.0006009,              0.0006009
                     26,                0.02988,                0.98522,                      1,                0.33253,             0.00059619,             0.00059619,             0.00059619
                     27,                0.02465,                0.99507,                      1,                 0.3219,             0.00059148,             0.00059148,             0.00059148
                     28,                0.02153,                0.99507,                      1,                0.31828,             0.00058677,             0.00058677,             0.00058677
                     29,                0.02823,                0.98522,                      1,                0.32397,             0.00058205,             0.00058205,             0.00058205
                     30,                0.03153,                0.99507,                      1,                0.32164,             0.00057734,             0.00057734,             0.00057734
                     31,                0.04412,                0.99507,                      1,                0.31792,             0.00057263,             0.00057263,             0.00057263
                     32,                0.02547,                0.99507,                      1,                0.32048,             0.00056792,             0.00056792,             0.00056792
                     33,                0.01426,                0.99507,                      1,                0.31868,              0.0005632,              0.0005632,              0.0005632
                     34,                0.01442,                0.99507,                      1,                0.32071,             0.00055849,             0.00055849,             0.00055849
                     35,                0.01389,                0.99507,                      1,                0.32048,             0.00055378,             0.00055378,             0.00055378
                     36,                0.02398,                0.99507,                      1,                0.31789,             0.00054907,             0.00054907,             0.00054907
                     37,                0.02329,                0.99507,                      1,                0.32848,             0.00054435,             0.00054435,             0.00054435
                     38,                0.03576,                0.99507,                      1,                0.31779,             0.00053964,             0.00053964,             0.00053964
                     39,                0.03876,                0.99507,                      1,                0.31922,             0.00053493,             0.00053493,             0.00053493
