                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.70904,                    0.5,                      1,                0.68988,               7.14e-06,               7.14e-06,               7.14e-06
                      2,                0.68222,                    0.8,                      1,                0.68824,             2.1279e-05,             2.1279e-05,             2.1279e-05
                      3,                0.69652,                    0.9,                      1,                0.68614,             3.5229e-05,             3.5229e-05,             3.5229e-05
                      4,                0.63487,                    0.5,                      1,                0.67993,              4.899e-05,              4.899e-05,              4.899e-05
                      5,                0.64846,                    0.7,                      1,                0.67526,             6.2564e-05,             6.2564e-05,             6.2564e-05
                      6,                0.61089,                    0.7,                      1,                0.66912,             7.5948e-05,             7.5948e-05,             7.5948e-05
                      7,                0.54598,                    0.7,                      1,                0.66132,             8.9144e-05,             8.9144e-05,             8.9144e-05
                      8,                0.52375,                    0.7,                      1,                0.65448,             0.00010215,             0.00010215,             0.00010215
                      9,                 0.5257,                    0.7,                      1,                0.65113,             0.00011497,             0.00011497,             0.00011497
                     10,                0.48441,                    0.7,                      1,                0.64763,              0.0001276,              0.0001276,              0.0001276
                     11,                0.49784,                    0.7,                      1,                0.64338,             0.00014004,             0.00014004,             0.00014004
                     12,                0.48621,                    0.7,                      1,                0.63722,              0.0001523,              0.0001523,              0.0001523
                     13,                0.42407,                    0.7,                      1,                0.63016,             0.00016436,             0.00016436,             0.00016436
                     14,                0.47474,                    0.9,                      1,                 0.6216,             0.00017624,             0.00017624,             0.00017624
                     15,                0.51822,                    0.9,                      1,                0.61199,             0.00018793,             0.00018793,             0.00018793
                     16,                0.40985,                    0.9,                      1,                0.60656,             0.00019943,             0.00019943,             0.00019943
                     17,                 0.4027,                    0.9,                      1,                0.59931,             0.00021074,             0.00021074,             0.00021074
                     18,                0.39636,                      1,                      1,                0.59815,             0.00022186,             0.00022186,             0.00022186
                     19,                 0.3614,                    0.9,                      1,                0.59517,              0.0002328,              0.0002328,              0.0002328
                     20,                0.32577,                    0.9,                      1,                0.58563,             0.00024354,             0.00024354,             0.00024354
                     21,                0.36633,                    0.9,                      1,                0.57491,              0.0002541,              0.0002541,              0.0002541
                     22,                0.41089,                    0.9,                      1,                0.55928,             0.00026447,             0.00026447,             0.00026447
                     23,                0.38443,                    0.9,                      1,                0.54188,             0.00027465,             0.00027465,             0.00027465
                     24,                0.42512,                    0.9,                      1,                0.53673,             0.00028464,             0.00028464,             0.00028464
                     25,                0.37349,                    0.9,                      1,                0.53731,             0.00029444,             0.00029444,             0.00029444
                     26,                0.35589,                    0.9,                      1,                0.52788,             0.00030406,             0.00030406,             0.00030406
                     27,                0.39701,                    0.9,                      1,                0.52549,             0.00031348,             0.00031348,             0.00031348
                     28,                0.31811,                    0.9,                      1,                0.52549,             0.00032272,             0.00032272,             0.00032272
                     29,                0.36302,                    0.9,                      1,                0.53259,             0.00033177,             0.00033177,             0.00033177
                     30,                0.24436,                    0.9,                      1,                0.53181,             0.00034063,             0.00034063,             0.00034063
                     31,                 0.2386,                    0.9,                      1,                0.53181,              0.0003493,              0.0003493,              0.0003493
                     32,                0.23594,                    0.9,                      1,                0.53706,             0.00035779,             0.00035779,             0.00035779
                     33,                0.37564,                    0.9,                      1,                0.54234,             0.00036608,             0.00036608,             0.00036608
                     34,                0.36671,                    0.9,                      1,                0.54234,             0.00037419,             0.00037419,             0.00037419
                     35,                0.27981,                    0.9,                      1,                0.55433,             0.00038211,             0.00038211,             0.00038211
                     36,                0.22842,                    0.8,                      1,                0.55689,             0.00038984,             0.00038984,             0.00038984
                     37,                 0.2672,                    0.8,                      1,                0.55689,             0.00039738,             0.00039738,             0.00039738
                     38,                0.53124,                    0.7,                      1,                0.58797,             0.00040473,             0.00040473,             0.00040473
                     39,                  0.436,                    0.7,                      1,                0.64129,              0.0004119,              0.0004119,              0.0004119
                     40,                0.31657,                    0.7,                      1,                0.64129,             0.00041887,             0.00041887,             0.00041887
                     41,                0.34525,                    0.6,                      1,                0.67694,             0.00042566,             0.00042566,             0.00042566
                     42,                0.32312,                    0.6,                      1,                 0.6862,             0.00043226,             0.00043226,             0.00043226
                     43,                0.31826,                    0.6,                      1,                 0.6862,             0.00043867,             0.00043867,             0.00043867
                     44,                0.46939,                    0.7,                      1,                0.64267,             0.00044489,             0.00044489,             0.00044489
                     45,                0.34321,                    0.7,                      1,                0.64267,             0.00045092,             0.00045092,             0.00045092
                     46,                0.31256,                    0.7,                      1,                0.58399,             0.00045677,             0.00045677,             0.00045677
                     47,                0.31734,                    0.7,                      1,                0.58399,             0.00046242,             0.00046242,             0.00046242
                     48,                0.34058,                    0.9,                      1,                0.51219,             0.00046789,             0.00046789,             0.00046789
                     49,                0.28151,                    0.9,                      1,                0.51219,             0.00047317,             0.00047317,             0.00047317
                     50,                0.31212,                    0.9,                      1,                0.46925,             0.00047826,             0.00047826,             0.00047826
                     51,                0.23034,                    0.9,                      1,                0.46925,             0.00047838,             0.00047838,             0.00047838
                     52,                0.20731,                    0.9,                      1,                0.48756,             0.00047367,             0.00047367,             0.00047367
                     53,                0.26142,                    0.9,                      1,                0.48756,             0.00046896,             0.00046896,             0.00046896
                     54,                0.23864,                    0.8,                      1,                0.50353,             0.00046424,             0.00046424,             0.00046424
                     55,                 0.2064,                    0.8,                      1,                0.50353,             0.00045953,             0.00045953,             0.00045953
                     56,                 0.2596,                    0.7,                      1,                0.51749,             0.00045482,             0.00045482,             0.00045482
                     57,                0.30395,                    0.7,                      1,                0.51749,             0.00045011,             0.00045011,             0.00045011
                     58,                0.29933,                    0.7,                      1,                0.52608,             0.00044539,             0.00044539,             0.00044539
                     59,                0.25629,                    0.7,                      1,                0.52608,             0.00044068,             0.00044068,             0.00044068
